elev,area,depth
23.6404,152343,0
23.57,149583,-0.0703999999999994
23.47,148384,-0.170400000000001
23.37,147339,-0.270399999999999
23.27,146448,-0.3704
23.17,145717,-0.470399999999998
23.07,145012,-0.570399999999999
22.97,144324,-0.670400000000001
22.87,143686,-0.770399999999999
22.77,143056,-0.8704
22.67,142413,-0.970399999999998
22.57,141809,-1.0704
22.47,141213,-1.1704
22.37,140569,-1.2704
22.27,139902,-1.3704
22.17,139331,-1.4704
22.07,138750,-1.5704
21.97,138177,-1.6704
21.87,137564,-1.7704
21.77,136874,-1.8704
21.67,136198,-1.9704
21.57,135533,-2.0704
21.47,134880,-2.1704
21.37,134231,-2.2704
21.27,133536,-2.3704
21.17,132777,-2.4704
21.07,132014,-2.5704
20.97,131224,-2.6704
20.87,130456,-2.7704
20.77,129683,-2.8704
20.67,128859,-2.9704
20.57,128022,-3.0704
20.47,127074,-3.1704
20.37,126121,-3.2704
20.27,125176,-3.3704
20.17,124116,-3.4704
20.07,123077,-3.5704
19.97,121978,-3.6704
19.87,120916,-3.7704
19.77,119818,-3.8704
19.67,118759,-3.9704
19.57,117592,-4.0704
19.47,116399,-4.1704
19.37,115216,-4.2704
19.27,114062,-4.3704
19.17,112874,-4.4704
19.07,111633,-4.5704
18.97,110447,-4.6704
18.87,109122,-4.7704
18.77,107658,-4.8704
18.67,106317,-4.9704
18.57,104938,-5.0704
18.47,103395,-5.1704
18.37,102015,-5.2704
18.27,100756,-5.3704
18.17,99546,-5.4704
18.07,98367,-5.5704
17.97,97234,-5.6704
17.87,96106,-5.7704
17.77,94929,-5.8704
17.67,93749,-5.9704
17.57,92569,-6.0704
17.47,91305,-6.1704
17.37,89953,-6.2704
17.27,88486,-6.3704
17.17,87011,-6.4704
17.07,85617,-6.5704
16.97,84161,-6.6704
16.87,82863,-6.7704
16.77,81616,-6.8704
16.67,80367,-6.9704
16.57,79170,-7.0704
16.47,78001,-7.1704
16.37,76842,-7.2704
16.27,75750,-7.3704
16.17,74694,-7.4704
16.07,73645,-7.5704
15.97,72599,-7.6704
15.87,71513,-7.7704
15.77,70407,-7.8704
15.67,69251,-7.9704
15.57,68025,-8.0704
15.47,66756,-8.1704
15.37,65316,-8.2704
15.27,64139,-8.3704
15.17,62949,-8.4704
15.07,61748,-8.5704
14.97,60392,-8.6704
14.87,58849,-8.7704
14.77,57484,-8.8704
14.67,56296,-8.9704
14.57,55066,-9.0704
14.47,53801,-9.1704
14.37,52561,-9.2704
14.27,51354,-9.3704
14.17,50057,-9.4704
14.07,48788,-9.5704
13.97,47386,-9.6704
13.87,46137,-9.7704
13.77,45034,-9.8704
13.67,44202,-9.9704
13.57,43373,-10.0704
13.47,42578,-10.1704
13.37,41759,-10.2704
13.27,40954,-10.3704
13.17,40110,-10.4704
13.07,39128,-10.5704
12.97,37854,-10.6704
12.87,36186,-10.7704
12.77,35056,-10.8704
12.67,34079,-10.9704
12.57,33007,-11.0704
12.47,31963,-11.1704
12.37,30779,-11.2704
12.27,29461,-11.3704
12.17,27781,-11.4704
12.07,26030,-11.5704
11.97,24694,-11.6704
11.87,23304,-11.7704
11.77,21567,-11.8704
11.67,19798,-11.9704
11.57,17810,-12.0704
11.47,16290,-12.1704
11.37,15011,-12.2704
11.27,13597,-12.3704
11.17,11733,-12.4704
11.07,9618,-12.5704
10.97,7768,-12.6704
10.87,6405,-12.7704
10.77,4490,-12.8704
10.67,3112,-12.9704
10.57,0,-13.0704
